NC_008751.1 Desulfovibrio vulgaris DP4, complete genome
NZ_ATKF01000003.1 Fusobacterium hwasookii ChDC F174 Contig003, whole genome shotgun sequence
NZ_ATKF01000004.1 Fusobacterium hwasookii ChDC F174 Contig004, whole genome shotgun sequence
NZ_ATKF01000005.1 Fusobacterium hwasookii ChDC F174 Contig005, whole genome shotgun sequence
NZ_ATKF01000006.1 Fusobacterium hwasookii ChDC F174 Contig006, whole genome shotgun sequence
NZ_ATKF01000007.1 Fusobacterium hwasookii ChDC F174 Contig007, whole genome shotgun sequence
NZ_ATKF01000008.1 Fusobacterium hwasookii ChDC F174 Contig008, whole genome shotgun sequence
NZ_ATKF01000009.1 Fusobacterium hwasookii ChDC F174 Contig009, whole genome shotgun sequence
NZ_ATKF01000010.1 Fusobacterium hwasookii ChDC F174 Contig010, whole genome shotgun sequence
NZ_ATKF01000011.1 Fusobacterium hwasookii ChDC F174 Contig011, whole genome shotgun sequence
NZ_ATKF01000012.1 Fusobacterium hwasookii ChDC F174 Contig012, whole genome shotgun sequence
NZ_ATKF01000013.1 Fusobacterium hwasookii ChDC F174 Contig013, whole genome shotgun sequence
NZ_ATKF01000014.1 Fusobacterium hwasookii ChDC F174 Contig014, whole genome shotgun sequence
NZ_ATKF01000015.1 Fusobacterium hwasookii ChDC F174 Contig015, whole genome shotgun sequence
NZ_ATKF01000016.1 Fusobacterium hwasookii ChDC F174 Contig016, whole genome shotgun sequence
NZ_ATKF01000017.1 Fusobacterium hwasookii ChDC F174 Contig017, whole genome shotgun sequence
NZ_ATKF01000018.1 Fusobacterium hwasookii ChDC F174 Contig018, whole genome shotgun sequence
NZ_ATKF01000019.1 Fusobacterium hwasookii ChDC F174 Contig019, whole genome shotgun sequence
NZ_ATKF01000020.1 Fusobacterium hwasookii ChDC F174 Contig020, whole genome shotgun sequence
NZ_ATKF01000021.1 Fusobacterium hwasookii ChDC F174 Contig021, whole genome shotgun sequence
NZ_ATKF01000022.1 Fusobacterium hwasookii ChDC F174 Contig022, whole genome shotgun sequence
NZ_ATKF01000023.1 Fusobacterium hwasookii ChDC F174 Contig023, whole genome shotgun sequence
NZ_ATKF01000024.1 Fusobacterium hwasookii ChDC F174 Contig024, whole genome shotgun sequence
NZ_ATKF01000025.1 Fusobacterium hwasookii ChDC F174 Contig025, whole genome shotgun sequence
NZ_ATKF01000026.1 Fusobacterium hwasookii ChDC F174 Contig026, whole genome shotgun sequence
NZ_ATKF01000027.1 Fusobacterium hwasookii ChDC F174 Contig027, whole genome shotgun sequence
NZ_ATKF01000028.1 Fusobacterium hwasookii ChDC F174 Contig028, whole genome shotgun sequence
NZ_ATKF01000029.1 Fusobacterium hwasookii ChDC F174 Contig029, whole genome shotgun sequence
NZ_ATKF01000030.1 Fusobacterium hwasookii ChDC F174 Contig030, whole genome shotgun sequence
NZ_ATKF01000031.1 Fusobacterium hwasookii ChDC F174 Contig031, whole genome shotgun sequence
NZ_ATKF01000032.1 Fusobacterium hwasookii ChDC F174 Contig032, whole genome shotgun sequence
NZ_ATKF01000033.1 Fusobacterium hwasookii ChDC F174 Contig033, whole genome shotgun sequence
NZ_ATKF01000034.1 Fusobacterium hwasookii ChDC F174 Contig034, whole genome shotgun sequence
NZ_ATKF01000035.1 Fusobacterium hwasookii ChDC F174 Contig035, whole genome shotgun sequence
NZ_ATKF01000036.1 Fusobacterium hwasookii ChDC F174 Contig036, whole genome shotgun sequence
NZ_ATKF01000037.1 Fusobacterium hwasookii ChDC F174 Contig037, whole genome shotgun sequence
NZ_ATKF01000038.1 Fusobacterium hwasookii ChDC F174 Contig038, whole genome shotgun sequence
NZ_ATKF01000039.1 Fusobacterium hwasookii ChDC F174 Contig039, whole genome shotgun sequence
NZ_ATKF01000040.1 Fusobacterium hwasookii ChDC F174 Contig040, whole genome shotgun sequence
NZ_ATKF01000041.1 Fusobacterium hwasookii ChDC F174 Contig041, whole genome shotgun sequence
NZ_ATKF01000042.1 Fusobacterium hwasookii ChDC F174 Contig042, whole genome shotgun sequence
NZ_ATKF01000043.1 Fusobacterium hwasookii ChDC F174 Contig043, whole genome shotgun sequence
NZ_ATKF01000044.1 Fusobacterium hwasookii ChDC F174 Contig044, whole genome shotgun sequence
NZ_ATKF01000045.1 Fusobacterium hwasookii ChDC F174 Contig045, whole genome shotgun sequence
NZ_ATKF01000046.1 Fusobacterium hwasookii ChDC F174 Contig046, whole genome shotgun sequence
NZ_ATKF01000047.1 Fusobacterium hwasookii ChDC F174 Contig047, whole genome shotgun sequence
NZ_ATKF01000048.1 Fusobacterium hwasookii ChDC F174 Contig048, whole genome shotgun sequence
NZ_ATKF01000049.1 Fusobacterium hwasookii ChDC F174 Contig049, whole genome shotgun sequence
NZ_ATKF01000050.1 Fusobacterium hwasookii ChDC F174 Contig050, whole genome shotgun sequence
NZ_ATKF01000051.1 Fusobacterium hwasookii ChDC F174 Contig051, whole genome shotgun sequence
